==8604== NVPROF is profiling process 8604, command: /home/lanchuanxin/torch/bin/python detect.py --weights runs/exp1_yolov5s_bdd/weights/best_yolov5s_bdd.pt --source bdd100k/images/test_nvprof --save-txt
==8604== Profiling application: /home/lanchuanxin/torch/bin/python detect.py --weights runs/exp1_yolov5s_bdd/weights/best_yolov5s_bdd.pt --source bdd100k/images/test_nvprof --save-txt
==8604== Profiling result:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
%,ms,,us,us,us,
25.995655,116.030742,2241,51.776000,25.249000,135.364000,"maxwell_fp16_scudnn_fp16_128x128_relu_interior_nn"
10.181729,45.445808,250,181.783000,91.203000,305.034000,"maxwell_fp16_scudnn_fp16_128x128_relu_small_nn"
9.404120,41.974979,3672,11.431000,3.296000,92.739000,"void at::native::unrolled_elementwise_kernel<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::AddFunctor<float>>, at::detail::Array<char*, int=3>, OffsetCalculator<int=2, unsigned int, bool=0>, OffsetCalculator<int=1, unsigned int, bool=0>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, c10::Half, c10::Half, c10::Half, float, at::native::AddFunctor<float>, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::AddFunctor<float>>)"
8.374286,37.378349,816,45.806000,25.344000,73.346000,"maxwell_fp16_scudnn_winograd_fp16_fp32_128x128_ldg1_ldg4_tile148n_nt"
8.289637,37.000521,951,38.906000,17.280000,86.243000,"maxwell_fp16_scudnn_fp16_128x64_relu_interior_nn"
7.379404,32.937723,92,358.018000,108.611000,373.100000,"void cudnn::detail::explicit_convolve_sgemm<__half, int, int=512, int=6, int=8, int=3, int=3, int=5, int=0, bool=1>(int, int, int, __half const *, int, __half const , int, cudnn::detail::explicit_convolve_sgemm<__half, int, int=512, int=6, int=8, int=3, int=3, int=5, int=0, bool=1>*, kernel_conv_params, int, int, float, float, int, __half const *, __half const *)"
3.384082,15.104736,4012,3.764000,1.312000,31.905000,"_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_81_GLOBAL__N__57_tmpxft_0000c55d_00000000_11_Activation_compute_75_cpp1_ii_ec99c53b17leaky_relu_kernelERNS_18TensorIteratorBaseERKN3c106ScalarEENKUlvE_clEvENKUlvE4_clEvEUlNS5_4HalfEE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_"
2.425566,10.826432,884,12.247000,4.416000,34.658000,"void at::native::_GLOBAL__N__52_tmpxft_0000d8a1_00000000_11_Shape_compute_75_cpp1_ii_cedd8df2::CatArrayBatchedCopy<c10::Half, unsigned int, int=4, int=128, int=1>(c10::Half*, at::native::_GLOBAL__N__52_tmpxft_0000d8a1_00000000_11_Shape_compute_75_cpp1_ii_cedd8df2::CatArrInputTensorMetadata<at::native::_GLOBAL__N__52_tmpxft_0000d8a1_00000000_11_Shape_compute_75_cpp1_ii_cedd8df2::CatArrayBatchedCopy<c10::Half, unsigned int, int=4, int=128, int=1>, unsigned int, int=128, int=1>, at::native::_GLOBAL__N__52_tmpxft_0000d8a1_00000000_11_Shape_compute_75_cpp1_ii_cedd8df2::TensorSizeStride<at::native::_GLOBAL__N__52_tmpxft_0000d8a1_00000000_11_Shape_compute_75_cpp1_ii_cedd8df2::CatArrInputTensorMetadata, unsigned int=4>, int, at::native::_GLOBAL__N__52_tmpxft_0000d8a1_00000000_11_Shape_compute_75_cpp1_ii_cedd8df2::CatArrInputTensorMetadata)"
2.207259,9.852027,68,144.882000,74.242000,171.558000,"maxwell_fp16_scudnn_fp16_128x64_relu_small_nn"
2.193686,9.791443,883,11.088000,0.736000,409.549000,"[CUDA memcpy HtoD]"
2.156412,9.625075,204,47.181000,9.729000,87.107000,"void at::native::_GLOBAL__N__63_tmpxft_0000c88a_00000000_11_DilatedMaxPool2d_compute_75_cpp1_ii_6258b574::max_pool_forward_nchw<c10::Half, c10::Half>(int, c10::Half const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, at::native::_GLOBAL__N__63_tmpxft_0000c88a_00000000_11_DilatedMaxPool2d_compute_75_cpp1_ii_6258b574::max_pool_forward_nchw<c10::Half, c10::Half>*, long*)"
1.730406,7.723611,884,8.737000,4.672000,18.689000,"void cudnn::winograd::generateWinogradTilesKernel<int=0, __half, float>(cudnn::winograd::GenerateWinogradTilesParams<__half, float>)"
1.704862,7.609593,68,111.905000,68.034000,146.981000,"maxwell_fp16_scudnn_winograd_fp16_fp32_128x128_ldg1_ldg4_tile148t_nt"
1.452118,6.481480,272,23.828000,11.105000,38.017000,"maxwell_fp16_scudnn_fp16_128x32_relu_interior_nn"
1.390899,6.208230,94,66.045000,64.450000,86.339000,"void im2col4d_kernel<__half, int>(im2col4d_params, cudnnConvolutionStruct, cudnnTensor4dStruct, __half const *, __half*, int)"
1.308501,5.840450,3782,1.544000,1.184000,10.689000,"cudnn::maxwell::gemm::computeOffsetsKernel(cudnn::maxwell::gemm::ComputeOffsetsParams)"
1.280054,5.713478,544,10.502000,3.777000,29.729000,"void at::native::batch_norm_transform_input_kernel<c10::Half, c10::Half, float, bool=1, int>(at::GenericPackedTensorAccessor<c10::Half, unsigned long=3, at::RestrictPtrTraits, int>, int, at::native::batch_norm_transform_input_kernel<c10::Half<std::conditional<bool=1, float, c10::Half>::type, unsigned long=1, c10::Half, at::RestrictPtrTraits>, c10::Half, float, bool=1, int>, std::conditional<bool=1, float, c10::Half>::type, at::native::batch_norm_transform_input_kernel<c10::Half<float, unsigned long=1, c10::Half, at::RestrictPtrTraits>, c10::Half, float, bool=1, int>, at::native::batch_norm_transform_input_kernel<c10::Half<std::conditional<bool=1, float, c10::Half>::type, unsigned long=1, c10::Half, at::RestrictPtrTraits>, c10::Half, float, bool=1, int>, std::conditional)"
1.164384,5.197189,958,5.425000,1.344000,22.753000,"_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE1_clEvENKUlvE6_clEvEUlfE_NS_6detail5ArrayIPcLi2EEE23TrivialOffsetCalculatorILi1EjESC_NS0_6memory12LoadWithCastILi1EEENSD_13StoreWithCastEEEviT_T0_T1_T2_T3_T4_"
0.672130,3.000030,68,44.118000,24.801000,60.930000,"void at::native::_GLOBAL__N__52_tmpxft_0000d8a1_00000000_11_Shape_compute_75_cpp1_ii_cedd8df2::CatArrayBatchedCopy<c10::Half, unsigned int, int=4, int=64, int=64>(c10::Half*, at::native::_GLOBAL__N__52_tmpxft_0000d8a1_00000000_11_Shape_compute_75_cpp1_ii_cedd8df2::CatArrInputTensorMetadata<at::native::_GLOBAL__N__52_tmpxft_0000d8a1_00000000_11_Shape_compute_75_cpp1_ii_cedd8df2::CatArrayBatchedCopy<c10::Half, unsigned int, int=4, int=64, int=64>, unsigned int, int=64, int=64>, at::native::_GLOBAL__N__52_tmpxft_0000d8a1_00000000_11_Shape_compute_75_cpp1_ii_cedd8df2::TensorSizeStride<at::native::_GLOBAL__N__52_tmpxft_0000d8a1_00000000_11_Shape_compute_75_cpp1_ii_cedd8df2::CatArrInputTensorMetadata, unsigned int=4>, int, at::native::_GLOBAL__N__52_tmpxft_0000d8a1_00000000_11_Shape_compute_75_cpp1_ii_cedd8df2::CatArrInputTensorMetadata)"
0.591210,2.638844,408,6.467000,4.672000,13.344000,"_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE1_clEvENKUlvE18_clEvEUlN3c104HalfEE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjLb0EESE_NS0_6memory15LoadWithoutCastENSF_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_"
0.513884,2.293706,204,11.243000,9.824000,14.240000,"void at::native::unrolled_elementwise_kernel<at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char*, int=3>, OffsetCalculator<int=2, unsigned int, bool=0>, OffsetCalculator<int=1, unsigned int, bool=0>, at::native::memory::LoadWithCast<int=2>, at::native::memory::StoreWithCast>(int, float, float, float, float, at::native::AddFunctor<float>, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>)"
0.465591,2.078149,408,5.093000,4.544000,6.752000,"void at::native::unrolled_elementwise_kernel<at::native::BUnaryFunctor<c10::Half, c10::Half, c10::Half, at::native::MulFunctor<float>>, at::detail::Array<char*, int=2>, OffsetCalculator<int=1, unsigned int, bool=0>, OffsetCalculator<int=1, unsigned int, bool=0>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, c10::Half, c10::Half, c10::Half, float, at::native::MulFunctor<float>, at::native::BUnaryFunctor<c10::Half, c10::Half, c10::Half, at::native::MulFunctor<float>>)"
0.432618,1.930976,204,9.465000,8.321000,11.744000,"_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE1_clEvENKUlvE18_clEvEUlN3c104HalfEE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjLb0EESE_NS0_6memory12LoadWithCastILi1EEENSF_13StoreWithCastEEEviT_T0_T1_T2_T3_T4_"
0.411718,1.837689,2014,0.912000,0.864000,1.440000,"[CUDA memcpy DtoH]"
0.402163,1.795042,476,3.771000,2.016000,9.985000,"void at::native::vectorized_elementwise_kernel<int=4, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::AddFunctor<float>>, at::detail::Array<char*, int=3>>(int, c10::Half, c10::Half)"
0.395816,1.766710,226,7.817000,1.408000,23.073000,"_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE1_clEvENKUlvE18_clEvEUlN3c104HalfEE_NS_6detail5ArrayIPcLi2EEE23TrivialOffsetCalculatorILi1EjESE_NS0_6memory12LoadWithCastILi1EEENSF_13StoreWithCastEEEviT_T0_T1_T2_T3_T4_"
0.324013,1.446222,136,10.633000,5.600000,16.896000,"void at::native::_GLOBAL__N__64_tmpxft_0000e057_00000000_11_UpSampleNearest2d_compute_75_cpp1_ii_f539c38f::upsample_nearest2d_out_frame<c10::Half, float>(c10::Half const *, at::native::_GLOBAL__N__64_tmpxft_0000e057_00000000_11_UpSampleNearest2d_compute_75_cpp1_ii_f539c38f::upsample_nearest2d_out_frame<c10::Half, float>*, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, float, float)"
0.289198,1.290824,204,6.327000,5.504000,8.832000,"void at::native::unrolled_elementwise_kernel<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::MulFunctor<float>>, at::detail::Array<char*, int=3>, OffsetCalculator<int=2, unsigned int, bool=0>, OffsetCalculator<int=1, unsigned int, bool=0>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, c10::Half, c10::Half, c10::Half, float, at::native::MulFunctor<float>, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::MulFunctor<float>>)"
0.260613,1.163238,244,4.767000,2.528000,7.265000,"void at::native::unrolled_elementwise_kernel<at::native::BinaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char*, int=3>, OffsetCalculator<int=2, unsigned int, bool=0>, OffsetCalculator<int=1, unsigned int, bool=0>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, float, float, float, float, at::native::MulFunctor<float>, at::native::BinaryFunctor<float, float, float, at::native::MulFunctor<float>>)"
0.238036,1.062464,544,1.953000,1.504000,2.560000,"_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_84_GLOBAL__N__60_tmpxft_0000d3a1_00000000_11_Normalization_compute_75_cpp1_ii_5c38458722batch_norm_calc_invstdERKNS_6TensorES5_dENKUlvE_clEvENKUlvE4_clEvEUlN3c104HalfEE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_"
0.222479,0.993027,204,4.867000,2.528000,10.688000,"_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_19sigmoid_kernel_cudaERNS_18TensorIteratorBaseEENKUlvE_clEvENKUlvE8_clEvEUlN3c104HalfEE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_"
0.151708,0.677142,36,18.809000,18.720000,18.913000,"void at::cuda::detail::cub::DeviceRadixSortSingleTileKernel<at::cuda::detail::cub::DeviceRadixSortPolicy<float, at::cuda::detail::cub::NullType, int>::Policy700, bool=0, float, at::cuda::detail::cub::NullType, int>(int const *, at::cuda::detail::cub::DeviceRadixSortSingleTileKernel<at::cuda::detail::cub::DeviceRadixSortPolicy<float, at::cuda::detail::cub::NullType, int>::Policy700, bool=0, float, at::cuda::detail::cub::NullType, int>*, at::cuda::detail::cub::DeviceRadixSortPolicy<float, at::cuda::detail::cub::NullType, int>::Policy700 const *, at::cuda::detail::cub::DeviceRadixSortSingleTileKernel<at::cuda::detail::cub::DeviceRadixSortPolicy<float, at::cuda::detail::cub::NullType, int>::Policy700, bool=0, float, at::cuda::detail::cub::NullType, int>**, bool=0, int, int)"
0.150353,0.671096,297,2.259000,1.440000,7.072000,"_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE1_clEvENKUlvE6_clEvEUlfE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjLb0EESC_NS0_6memory15LoadWithoutCastENSD_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_"
0.145578,0.649783,220,2.953000,2.016000,7.168000,"_ZN2at6native24index_elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi4EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_"
0.134829,0.601806,68,8.850000,7.072000,11.776000,"void at::native::_GLOBAL__N__52_tmpxft_0000d8a1_00000000_11_Shape_compute_75_cpp1_ii_cedd8df2::CatArrayBatchedCopy<c10::Half, unsigned int, int=3, int=128, int=1>(c10::Half*, at::native::_GLOBAL__N__52_tmpxft_0000d8a1_00000000_11_Shape_compute_75_cpp1_ii_cedd8df2::CatArrInputTensorMetadata<at::native::_GLOBAL__N__52_tmpxft_0000d8a1_00000000_11_Shape_compute_75_cpp1_ii_cedd8df2::CatArrayBatchedCopy<c10::Half, unsigned int, int=3, int=128, int=1>, unsigned int, int=128, int=1>, at::native::_GLOBAL__N__52_tmpxft_0000d8a1_00000000_11_Shape_compute_75_cpp1_ii_cedd8df2::TensorSizeStride<at::native::_GLOBAL__N__52_tmpxft_0000d8a1_00000000_11_Shape_compute_75_cpp1_ii_cedd8df2::CatArrInputTensorMetadata, unsigned int=4>, int, at::native::_GLOBAL__N__52_tmpxft_0000d8a1_00000000_11_Shape_compute_75_cpp1_ii_cedd8df2::CatArrInputTensorMetadata)"
